Sample,GEO_ID
X202897220016_R03C01,GSM6979764
X202897220016_R04C01,GSM6979765
X202897220016_R05C01,GSM6979766
X202897220016_R06C01,GSM6979767
X202897220016_R02C02,GSM6979768
X202897220016_R03C02,GSM6979769
X202897220016_R04C02,GSM6979770
X202897220016_R05C02,GSM6979771
X202897220016_R06C02,GSM6979772
X202894750024_R01C01,GSM6979773
X202894750024_R02C01,GSM6979774
X202894750024_R03C01,GSM6979775
X202894750024_R04C01,GSM6979776
X202894750024_R05C01,GSM6979777
X202894750024_R06C01,GSM6979778
X202894750024_R01C02,GSM6979779
X202894750024_R02C02,GSM6979780
X202894750024_R03C02,GSM6979781
X202894750024_R04C02,GSM6979782
X202894750024_R05C02,GSM6979783
X202894750024_R06C02,GSM6979784
X202894750021_R01C01,GSM6979785
X202894750021_R02C01,GSM6979786
X202894750021_R03C01,GSM6979787
X202894750021_R04C01,GSM6979788
X202894750021_R05C01,GSM6979789
X202894750021_R06C01,GSM6979790
X202894750021_R01C02,GSM6979791
X202894750021_R02C02,GSM6979792
X202894750021_R03C02,GSM6979793
X202894750021_R04C02,GSM6979794
X202894750021_R05C02,GSM6979795
X202894750021_R06C02,GSM6979796
X202897220035_R01C01,GSM6979797
X202897220035_R02C01,GSM6979798
X202897220035_R03C01,GSM6979799
X202897220035_R04C01,GSM6979800
X202897220035_R05C01,GSM6979801
X202897220035_R01C02,GSM6979802
X202897220035_R02C02,GSM6979803
X202897220035_R03C02,GSM6979804
X202897220035_R04C02,GSM6979805
X202897220035_R05C02,GSM6979806
X202897220035_R06C02,GSM6979807
X202943350002_R01C01,GSM6979808
X202943350002_R02C01,GSM6979809
X202943350002_R03C01,GSM6979810
X202943350002_R04C01,GSM6979811
X202943350002_R05C01,GSM6979812
X202943350002_R06C01,GSM6979813
X202943350002_R01C02,GSM6979814
X202943350002_R02C02,GSM6979815
X202943350002_R03C02,GSM6979816
X202943350002_R04C02,GSM6979817
X202943350002_R05C02,GSM6979818
X202943350002_R06C02,GSM6979819
X202897220099_R01C01,GSM6979820
X202897220099_R02C01,GSM6979821
X202897220099_R03C01,GSM6979822
X202897220099_R04C01,GSM6979823
X202897220099_R05C01,GSM6979824
X202897220099_R06C01,GSM6979825
X202897220099_R01C02,GSM6979826
X202897220099_R02C02,GSM6979827
X202897220099_R03C02,GSM6979828
X202897220099_R04C02,GSM6979829
X202897220099_R05C02,GSM6979830
X202897220099_R06C02,GSM6979831
X202897220138_R01C01,GSM6979832
X202897220138_R02C01,GSM6979833
X202897220138_R03C01,GSM6979834
X202897220138_R04C01,GSM6979835
X202897220138_R05C01,GSM6979836
X202897220138_R06C01,GSM6979837
X202897220138_R01C02,GSM6979838
X202897220138_R02C02,GSM6979839
X202897220138_R03C02,GSM6979840
X202897220138_R04C02,GSM6979841
X202897220138_R05C02,GSM6979842
X202897220138_R06C02,GSM6979843
X202897220079_R01C01,GSM6979844
X202897220079_R02C01,GSM6979845
X202897220079_R03C01,GSM6979846
X202897220079_R04C01,GSM6979847
X202897220079_R05C01,GSM6979848
X202897220079_R06C01,GSM6979849
X202897220079_R01C02,GSM6979850
X202897220079_R02C02,GSM6979851
X202897220079_R03C02,GSM6979852
X202897220079_R04C02,GSM6979853
X202897220079_R05C02,GSM6979854
X202897220079_R06C02,GSM6979855
X202894750015_R01C01,GSM6979856
X202894750015_R02C01,GSM6979857
X202894750015_R03C01,GSM6979858
X202894750015_R04C01,GSM6979859
X202894750015_R05C01,GSM6979860
X202894750015_R06C01,GSM6979861
X202894750015_R01C02,GSM6979862
X202894750015_R02C02,GSM6979863
X202894750015_R03C02,GSM6979864
X202894750015_R04C02,GSM6979865
X202894750015_R05C02,GSM6979866
X202894750015_R06C02,GSM6979867
X202894750037_R01C01,GSM6979868
X202894750037_R02C01,GSM6979869
X202894750037_R03C01,GSM6979870
X202894750037_R04C01,GSM6979871
