SpeciesCommonName,SpeciesLatinName,Tissue,Female,Age,SID
Mouse,Mus musculus,Spleen,0,0.153424658,X204529320022_R05C02
Mouse,Mus musculus,Spleen,0,0.076712329,X204529320022_R06C01
Mouse,Mus musculus,Spleen,0,0.153424658,X204529320022_R06C02
Mouse,Mus musculus,Brain,0,0.153424658,X204529320023_R01C01
Mouse,Mus musculus,Liver,1,0.076712329,X204529320023_R01C02
Mouse,Mus musculus,Brain,0,0.153424658,X204529320023_R02C01
Mouse,Mus musculus,Liver,1,0.076712329,X204529320023_R02C02
Mouse,Mus musculus,Brain,0,0.383561644,X204529320023_R03C01
Mouse,Mus musculus,Liver,1,0.076712329,X204529320023_R03C02
Mouse,Mus musculus,Brain,0,0.383561644,X204529320023_R04C01
Mouse,Mus musculus,Liver,1,0.076712329,X204529320023_R04C02
Mouse,Mus musculus,Brain,0,0.383561644,X204529320023_R05C01
Mouse,Mus musculus,Liver,1,0.076712329,X204529320023_R05C02
Mouse,Mus musculus,Brain,0,0.383561644,X204529320023_R06C01
Mouse,Mus musculus,Liver,1,0.153424658,X204529320023_R06C02
Mouse,Mus musculus,Cortex,0,2.090410959,X204529320024_R01C01
Mouse,Mus musculus,Cortex,0,2.063013699,X204529320024_R01C02
Mouse,Mus musculus,Cortex,0,2.090410959,X204529320024_R02C01
Mouse,Mus musculus,Cortex,0,2.060273973,X204529320024_R02C02
Mouse,Mus musculus,Cortex,1,2.18630137,X204529320024_R03C01
Mouse,Mus musculus,Cortex,0,1.904109589,X204529320024_R03C02
Mouse,Mus musculus,Cortex,1,2.18630137,X204529320024_R04C01
Mouse,Mus musculus,Cortex,0,1.904109589,X204529320024_R04C02
Mouse,Mus musculus,Cortex,0,2.128767123,X204529320024_R05C01
Mouse,Mus musculus,Heart,0,2.090410959,X204529320024_R05C02
Mouse,Mus musculus,Cortex,0,2.063013699,X204529320024_R06C01
Mouse,Mus musculus,Heart,0,2.090410959,X204529320024_R06C02
Mouse,Mus musculus,Muscle,1,1.75,X204529320025_R01C01
Mouse,Mus musculus,Lung,1,1.75,X204529320025_R01C02
Mouse,Mus musculus,Muscle,1,,X204529320025_R02C01
Mouse,Mus musculus,Lung,1,,X204529320025_R02C02
Mouse,Mus musculus,Lung,0,1.75,X204529320025_R03C01
Mouse,Mus musculus,Lung,1,1.75,X204529320025_R03C02
Mouse,Mus musculus,Lung,0,,X204529320025_R04C01
Mouse,Mus musculus,Lung,1,,X204529320025_R04C02
Mouse,Mus musculus,Lung,0,1.75,X204529320025_R05C01
Mouse,Mus musculus,Lung,1,1.75,X204529320025_R05C02
Mouse,Mus musculus,Lung,1,,X204529320025_R06C02
Mouse,Mus musculus,Cerebellum,1,0.5,X204529320026_R01C01
Mouse,Mus musculus,Cerebellum,0,0.5,X204529320026_R01C02
Mouse,Mus musculus,Cerebellum,0,0.5,X204529320026_R02C01
Mouse,Mus musculus,Cerebellum,0,0.5,X204529320026_R02C02
Mouse,Mus musculus,Cerebellum,1,0.5,X204529320026_R03C02
Mouse,Mus musculus,Cerebellum,1,0.5,X204529320026_R04C01
Mouse,Mus musculus,Cerebellum,1,0.5,X204529320026_R04C02
Mouse,Mus musculus,Cerebellum,1,0.5,X204529320026_R05C01
Mouse,Mus musculus,Cerebellum,1,0.5,X204529320026_R05C02
Mouse,Mus musculus,Cerebellum,0,0.5,X204529320026_R06C01
Mouse,Mus musculus,Cerebellum,0,0.5,X204529320026_R06C02
Rhesus macaque,Macaca mulatta,Blood,1,24.07,X204529320027_R01C01
Rhesus macaque,Macaca mulatta,Blood,0,16.88,X204529320027_R01C02
Rhesus macaque,Macaca mulatta,Blood,0,18.65,X204529320027_R02C01
Rhesus macaque,Macaca mulatta,Blood,0,11.84,X204529320027_R02C02
Rhesus macaque,Macaca mulatta,Blood,0,12.52,X204529320027_R03C01
Rhesus macaque,Macaca mulatta,Blood,1,17.59,X204529320027_R03C02
Rhesus macaque,Macaca mulatta,Blood,0,7.7,X204529320027_R04C01
Rhesus macaque,Macaca mulatta,Blood,1,21.59,X204529320027_R04C02
Rhesus macaque,Macaca mulatta,Blood,0,18.39,X204529320027_R05C01
Rhesus macaque,Macaca mulatta,Blood,0,25.43,X204529320027_R05C02
Rhesus macaque,Macaca mulatta,Blood,0,18.64,X204529320027_R06C01
Rhesus macaque,Macaca mulatta,Blood,0,22.41,X204529320027_R06C02
Mouse,Mus musculus,Skin,1,1.75,X204529320028_R01C01
Mouse,Mus musculus,Muscle,0,1.75,X204529320028_R01C02
Mouse,Mus musculus,Skin,1,,X204529320028_R02C01
Mouse,Mus musculus,Muscle,0,,X204529320028_R02C02
Mouse,Mus musculus,Skin,1,1.75,X204529320028_R03C01
Mouse,Mus musculus,Muscle,1,1.75,X204529320028_R03C02
Mouse,Mus musculus,Skin,1,,X204529320028_R04C01
Mouse,Mus musculus,Muscle,1,,X204529320028_R04C02
Mouse,Mus musculus,Muscle,0,1.75,X204529320028_R05C01
Mouse,Mus musculus,Muscle,1,1.75,X204529320028_R05C02
Mouse,Mus musculus,Muscle,0,,X204529320028_R06C01
Mouse,Mus musculus,Muscle,1,,X204529320028_R06C02
Mouse,Mus musculus,Kidney,1,0.383561644,X204529320029_R01C01
Mouse,Mus musculus,Kidney,0,0.153424658,X204529320029_R01C02
Mouse,Mus musculus,Kidney,1,0.383561644,X204529320029_R02C01
Mouse,Mus musculus,Kidney,0,0.153424658,X204529320029_R02C02
Mouse,Mus musculus,Kidney,0,0.153424658,X204529320029_R03C01
Mouse,Mus musculus,Kidney,0,0.383561644,X204529320029_R03C02
Mouse,Mus musculus,Kidney,0,0.153424658,X204529320029_R04C01
Mouse,Mus musculus,Kidney,0,0.383561644,X204529320029_R04C02
Mouse,Mus musculus,Kidney,0,0.153424658,X204529320029_R05C01
Mouse,Mus musculus,Kidney,0,0.383561644,X204529320029_R05C02
Mouse,Mus musculus,Kidney,0,0.153424658,X204529320029_R06C01
Mouse,Mus musculus,Kidney,0,0.383561644,X204529320029_R06C02
Killer whale,Orcinus orca,Skin,1,10.66666667,X204529320031_R01C01
Killer whale,Orcinus orca,Skin,0,18.81724846,X204529320031_R01C02
Killer whale,Orcinus orca,Skin,1,15.56194387,X204529320031_R02C01
Killer whale,Orcinus orca,Skin,1,0.944558522,X204529320031_R03C01
Killer whale,Orcinus orca,Skin,0,8.892539357,X204529320031_R04C01
Cheetah,Acinonyx jubatus,Blood,1,6.669404517,X204529320031_R04C02
Killer whale,Orcinus orca,Skin,0,24.21355236,X204529320031_R05C01
Gerenuk,Litocranius walleri,Blood,1,7.394934976,X204529320031_R05C02
Killer whale,Orcinus orca,Skin,1,17.33333333,X204529320031_R06C01
Lesser kudu,Tragelaphus imberbis,Blood,0,9.659137577,X204529320031_R06C02
Gerenuk,Litocranius walleri,Blood,1,2.083504449,X204529320032_R01C01
Somali wild ass,Equus africanus somaliensis,Blood,1,10.03148528,X204529320032_R01C02
Maned wolf,Chrysocyon brachyurus,Blood,1,13.62354552,X204529320032_R02C01
Grevy's zebra,Equus grevyi,Blood,1,18.46954141,X204529320032_R02C02
Maned wolf,Chrysocyon brachyurus,Blood,0,7.72073922,X204529320032_R03C01
Nile lechwe,Kobus megaceros,Blood,0,0.958247775,X204529320032_R03C02
Cheetah,Acinonyx jubatus,Blood,0,5.18275154,X204529320032_R04C01
Nile lechwe,Kobus megaceros,Blood,1,0.788501027,X204529320032_R04C02
White rhino,Ceratotherium simum simum,Blood,0,29.66461328,X204529320032_R05C01
Grevy's zebra,Equus grevyi,Blood,0,10.32717317,X204529320032_R05C02
White rhino,Ceratotherium simum simum,Blood,0,1.626283368,X204529320032_R06C01
Grevy's zebra,Equus grevyi,Blood,0,2.915811088,X204529320032_R06C02
Cat,Felis catus,Blood,1,0.416438356,X204529320034_R01C02
Cat,Felis catus,Blood,1,7.416438356,X204529320034_R02C01
Cat,Felis catus,Blood,0,1.916164384,X204529320034_R02C02
Cat,Felis catus,Blood,1,9.916164384,X204529320034_R03C01
Cat,Felis catus,Blood,0,0.499726027,X204529320034_R03C02
Cat,Felis catus,Blood,1,0.916164384,X204529320034_R04C01
Cat,Felis catus,Blood,1,17.41643836,X204529320034_R04C02
