SpeciesCommonName,SpeciesLatinName,Tissue,Sex,Age,Sample,GEO_ID
Marmoset,Callithrix jacchus,Blood,Female,6.61,X203531420061_R06C01,GSM6987991
Marmoset,Callithrix jacchus,Blood,Female,7.26,X203531420061_R06C02,GSM6987997
Marmoset,Callithrix jacchus,Blood,Male,10.06,X203531420062_R01C01,GSM6987998
Marmoset,Callithrix jacchus,Blood,Male,9.58,X203531420062_R01C02,GSM6988004
Marmoset,Callithrix jacchus,Blood,Female,6.09,X203531420062_R02C01,GSM6987999
Marmoset,Callithrix jacchus,Blood,Male,10.02,X203531420062_R02C02,GSM6988005
Marmoset,Callithrix jacchus,Blood,Male,8.14,X203531420062_R03C01,GSM6988000
Marmoset,Callithrix jacchus,Blood,Female,6.86,X203531420062_R03C02,GSM6988006
Marmoset,Callithrix jacchus,Blood,Male,7.36,X203531420062_R04C01,GSM6988001
Marmoset,Callithrix jacchus,Blood,Female,6.09,X203531420062_R04C02,GSM6988007
Marmoset,Callithrix jacchus,Blood,Male,6.74,X203531420062_R05C01,GSM6988002
Marmoset,Callithrix jacchus,Blood,Male,5.66,X203531420062_R05C02,GSM6988008
Marmoset,Callithrix jacchus,Blood,Female,8.17,X203531420062_R06C01,GSM6988003
Marmoset,Callithrix jacchus,Blood,Female,8.17,X203531420062_R06C02,GSM6988009
California sea lion,Zalophus californianus,Blood,Female,28.45,X203531420063_R01C01,GSM6986729
Bottlenose dolphin,Tursiops truncatus,Blood,Female,2.69,X203531420063_R01C02,GSM6986735
Bottlenose dolphin,Tursiops truncatus,Blood,Female,20.77,X203531420063_R02C01,GSM6986730
Bottlenose dolphin,Tursiops truncatus,Blood,Female,15.46,X203531420063_R02C02,GSM6986736
Bottlenose dolphin,Tursiops truncatus,Blood,Female,26.59,X203531420063_R03C01,GSM6986731
Beluga whale,Delphinapterus leucas,Blood,Female,21.33,X203531420063_R03C02,GSM6986737
Bottlenose dolphin,Tursiops truncatus,Blood,Female,5.07,X203531420063_R04C01,GSM6986732
Beluga whale,Delphinapterus leucas,Blood,Female,30.92,X203531420063_R04C02,GSM6986738
Bottlenose dolphin,Tursiops truncatus,Blood,Female,12.33,X203531420063_R05C01,GSM6986733
Beluga whale,Delphinapterus leucas,Blood,Female,30.92,X203531420063_R05C02,GSM6986739
Bottlenose dolphin,Tursiops truncatus,Blood,Female,2.24,X203531420063_R06C01,GSM6986734
Bottlenose dolphin,Tursiops truncatus,Blood,Female,22.38,X203531420063_R06C02,GSM6986740
Marmoset,Callithrix jacchus,Blood,Male,5.07,X203531420064_R01C01,GSM6987938
Marmoset,Callithrix jacchus,Blood,Female,2.3,X203531420064_R01C02,GSM6987944
Marmoset,Callithrix jacchus,Blood,Female,2.74,X203531420064_R02C01,GSM6987939
Marmoset,Callithrix jacchus,Blood,Male,4.59,X203531420064_R02C02,GSM6987945
Marmoset,Callithrix jacchus,Blood,Male,3.01,X203531420064_R03C01,GSM6987940
Marmoset,Callithrix jacchus,Blood,Male,3.06,X203531420064_R03C02,GSM6987946
Marmoset,Callithrix jacchus,Blood,Female,2.78,X203531420064_R04C01,GSM6987941
Marmoset,Callithrix jacchus,Blood,Male,2.3,X203531420064_R04C02,GSM6987947
Marmoset,Callithrix jacchus,Blood,Male,4.04,X203531420064_R05C01,GSM6987942
Marmoset,Callithrix jacchus,Blood,Male,1.87,X203531420064_R05C02,GSM6987948
Marmoset,Callithrix jacchus,Blood,Male,4.04,X203531420064_R06C01,GSM6987943
Marmoset,Callithrix jacchus,Blood,Male,2.23,X203531420064_R06C02,GSM6987949
Greater mouse-eared bat,Myotis myotis,Skin,Female,1.0,X203531420065_R01C02,GSM6983523
Greater mouse-eared bat,Myotis myotis,Skin,Female,2.0,X203531420065_R02C02,GSM6983524
Greater mouse-eared bat,Myotis myotis,Skin,Female,6.0,X203531420065_R03C01,GSM6983521
Greater mouse-eared bat,Myotis myotis,Skin,Female,2.0,X203531420065_R03C02,GSM6983525
Greater mouse-eared bat,Myotis myotis,Skin,Female,2.0,X203531420065_R04C02,GSM6983526
Greater mouse-eared bat,Myotis myotis,Skin,Female,6.0,X203531420065_R05C01,GSM6983522
Greater mouse-eared bat,Myotis myotis,Skin,Female,3.0,X203531420065_R05C02,GSM6983527
Greater mouse-eared bat,Myotis myotis,Skin,Female,3.0,X203531420065_R06C02,GSM6983528
Bottlenose dolphin,Tursiops truncatus,Blood,Female,28.91,X203531420070_R01C01,GSM6986705
Bottlenose dolphin,Tursiops truncatus,Blood,Female,5.3,X203531420070_R01C02,GSM6986711
Bottlenose dolphin,Tursiops truncatus,Blood,Female,14.63,X203531420070_R02C01,GSM6986706
Bottlenose dolphin,Tursiops truncatus,Blood,Female,22.72,X203531420070_R02C02,GSM6986712
Bottlenose dolphin,Tursiops truncatus,Blood,Female,9.62,X203531420070_R03C01,GSM6986707
Bottlenose dolphin,Tursiops truncatus,Blood,Female,16.79,X203531420070_R03C02,GSM6986713
Killer whale,Orcinus orca,Blood,Female,54.2,X203531420070_R04C01,GSM6986708
Bottlenose dolphin,Tursiops truncatus,Blood,Male,24.73,X203531420070_R04C02,GSM6986714
Bottlenose dolphin,Tursiops truncatus,Blood,Female,4.17,X203531420070_R05C01,GSM6986709
Bottlenose dolphin,Tursiops truncatus,Blood,Male,11.62,X203531420070_R05C02,GSM6986715
Bottlenose dolphin,Tursiops truncatus,Blood,Female,38.14,X203531420070_R06C01,GSM6986710
Bottlenose dolphin,Tursiops truncatus,Blood,Female,34.93,X203531420070_R06C02,GSM6986716
Olive baboon,Papio hamadryas,Muscle,Female,18.63,X203531420071_R01C01,GSM6981844
Olive baboon,Papio hamadryas,Muscle,Female,21.29,X203531420071_R01C02,GSM6981850
Olive baboon,Papio hamadryas,Muscle,Female,8.72,X203531420071_R02C01,GSM6981845
Olive baboon,Papio hamadryas,Muscle,Female,14.77,X203531420071_R02C02,GSM6981851
Olive baboon,Papio hamadryas,Muscle,Female,10.36,X203531420071_R03C01,GSM6981846
Olive baboon,Papio hamadryas,Muscle,Female,11.1,X203531420071_R03C02,GSM6981852
Olive baboon,Papio hamadryas,Muscle,Female,8.88,X203531420071_R04C01,GSM6981847
Olive baboon,Papio hamadryas,Muscle,Female,10.93,X203531420071_R04C02,GSM6981853
Olive baboon,Papio hamadryas,Muscle,Female,19.21,X203531420071_R05C01,GSM6981848
Olive baboon,Papio hamadryas,Muscle,Female,20.91,X203531420071_R05C02,GSM6981854
Olive baboon,Papio hamadryas,Muscle,Female,15.12,X203531420071_R06C01,GSM6981849
Olive baboon,Papio hamadryas,Muscle,Female,14.77,X203531420071_R06C02,GSM6981855
Bottlenose dolphin,Tursiops truncatus,Blood,Male,40.67,X203531420072_R01C01,GSM6986753
Bottlenose dolphin,Tursiops truncatus,Blood,Female,4.9,X203531420072_R01C02,GSM6986759
Bottlenose dolphin,Tursiops truncatus,Blood,Male,30.82,X203531420072_R02C01,GSM6986754
Bottlenose dolphin,Tursiops truncatus,Blood,Female,9.6,X203531420072_R02C02,GSM6986760
Bottlenose dolphin,Tursiops truncatus,Blood,Male,13.48,X203531420072_R03C01,GSM6986755
Bottlenose dolphin,Tursiops truncatus,Blood,Male,22.55,X203531420072_R03C02,GSM6986761
California sea lion,Zalophus californianus,Blood,Female,,X203531420072_R04C01,GSM6986756
Bottlenose dolphin,Tursiops truncatus,Blood,Male,24.63,X203531420072_R04C02,GSM6986762
California sea lion,Zalophus californianus,Blood,Female,1.53,X203531420072_R05C01,GSM6986757
Bottlenose dolphin,Tursiops truncatus,Blood,Male,20.57,X203531420072_R05C02,GSM6986763
California sea lion,Zalophus californianus,Blood,Female,2.54,X203531420072_R06C01,GSM6986758
Bottlenose dolphin,Tursiops truncatus,Blood,Male,14.4,X203531420072_R06C02,GSM6986764
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,6.03,X203531420073_R01C01,GSM6987779
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,6.01,X203531420073_R01C02,GSM6987785
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,11.99,X203531420073_R02C01,GSM6987780
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,9.04,X203531420073_R02C02,GSM6987786
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,4.89,X203531420073_R03C01,GSM6987781
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,,X203531420073_R03C02,GSM6987787
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,7.02,X203531420073_R04C01,GSM6987782
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,10.01,X203531420073_R04C02,GSM6987788
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,0.02,X203531420073_R05C01,GSM6987783
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,6.86,X203531420073_R05C02,GSM6987789
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,5.06,X203531420073_R06C01,GSM6987784
Yellow-bellied marmot,Marmota flaviventris,Blood,Female,7.04,X203531420073_R06C02,GSM6987790
Marmoset,Callithrix jacchus,Blood,Male,10.04,X203531420074_R01C01,GSM6987974
Marmoset,Callithrix jacchus,Blood,Male,13.09,X203531420074_R01C02,GSM6987980
Marmoset,Callithrix jacchus,Blood,Female,7.99,X203531420074_R02C01,GSM6987975
Marmoset,Callithrix jacchus,Blood,Female,13.19,X203531420074_R02C02,GSM6987981
Marmoset,Callithrix jacchus,Blood,Male,7.91,X203531420074_R03C01,GSM6987976
Marmoset,Callithrix jacchus,Blood,Male,13.41,X203531420074_R03C02,GSM6987982
Marmoset,Callithrix jacchus,Blood,Male,11.04,X203531420074_R04C01,GSM6987977
Marmoset,Callithrix jacchus,Blood,Female,10.63,X203531420074_R04C02,GSM6987983
Marmoset,Callithrix jacchus,Blood,Female,7.45,X203531420074_R05C01,GSM6987978
Marmoset,Callithrix jacchus,Blood,Male,11.88,X203531420074_R05C02,GSM6987984
Marmoset,Callithrix jacchus,Blood,Male,12.63,X203531420074_R06C01,GSM6987979
Marmoset,Callithrix jacchus,Blood,Female,8.93,X203531420074_R06C02,GSM6987985
Olive baboon,Papio hamadryas,Muscle,Female,22.12,X203531420075_R01C01,GSM6981856
Olive baboon,Papio hamadryas,Muscle,Female,18.26,X203531420075_R01C02,GSM6981862
Olive baboon,Papio hamadryas,Muscle,Male,22.84,X203531420075_R02C01,GSM6981857
Olive baboon,Papio hamadryas,Muscle,Male,18.64,X203531420075_R02C02,GSM6981863
